Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
25.63, 27.12, 102.48, 141, 23, 33, 413, 14221, 20651
25.63, 27.06, 102.48, 131, 23, 32, 412, 14221, 20646
25.63, 27.12, 102.49, 131, 22, 38, 417, 14211, 20641
25.61, 27.21, 102.49, 141, 24, 34, 413, 14213, 20652
25.63, 27.04, 102.48, 141, 24, 38, 407, 14217, 20656
25.65, 27.16, 102.49, 131, 22, 41, 412, 14218, 20652
25.60, 27.27, 102.49, 131, 23, 35, 419, 14215, 20645
25.61, 27.43, 102.49, 140, 22, 36, 416, 14214, 20643
25.65, 27.19, 102.49, 140, 24, 40, 418, 14208, 20642
25.61, 27.27, 102.48, 133, 16, 38, 416, 14208, 20644
25.63, 27.19, 102.49, 133, 21, 36, 415, 14213, 20646
25.63, 27.11, 102.48, 139, 23, 36, 418, 14205, 20639
25.60, 26.93, 102.49, 139, 23, 33, 420, 14212, 20648
25.63, 27.27, 102.49, 133, 25, 35, 416, 14210, 20655
25.63, 26.95, 102.49, 133, 24, 43, 419, 14201, 20641
25.61, 27.12, 102.49, 139, 22, 43, 429, 14203, 20638
25.63, 27.01, 102.49, 139, 21, 40, 420, 14204, 20634
25.63, 27.29, 102.49, 135, 23, 43, 422, 14204, 20645
25.65, 26.91, 102.49, 135, 24, 42, 418, 14204, 20643
25.60, 27.10, 102.49, 138, 23, 45, 425, 14205, 20635
25.61, 27.26, 102.49, 138, 24, 47, 424, 14208, 20641
25.61, 27.12, 102.49, 136, 24, 39, 413, 14202, 20637
25.58, 27.22, 102.49, 136, 24, 47, 424, 14203, 20618
25.60, 27.02, 102.49, 136, 23, 46, 422, 14205, 20630
25.61, 27.06, 102.49, 136, 28, 48, 421, 14200, 20628
25.60, 27.25, 102.49, 136, 22, 47, 422, 14206, 20627
25.61, 27.02, 102.49, 136, 24, 46, 425, 14205, 20629
25.63, 27.19, 102.49, 134, 22, 43, 420, 14200, 20630
25.63, 27.35, 102.49, 134, 23, 53, 427, 14205, 20629
25.60, 27.05, 102.49, 140, 23, 46, 412, 14209, 20635
25.61, 27.19, 102.49, 140, 24, 44, 413, 14208, 20634
25.60, 27.13, 102.49, 132, 23, 46, 411, 14202, 20632
25.63, 26.89, 102.49, 132, 24, 42, 410, 14207, 20633
25.58, 27.35, 102.49, 141, 24, 49, 415, 14200, 20634
25.58, 27.06, 102.49, 141, 24, 45, 412, 14201, 20630
25.61, 27.14, 102.49, 132, 23, 42, 414, 14201, 20629
25.61, 27.03, 102.49, 132, 23, 47, 424, 14196, 20626
25.58, 27.52, 102.49, 142, 24, 47, 421, 14197, 20627
25.61, 27.04, 102.49, 142, 24, 52, 414, 14194, 20621
25.61, 27.10, 102.49, 131, 24, 47, 418, 14199, 20627
25.65, 26.94, 102.49, 131, 24, 49, 422, 14202, 20633
25.61, 27.21, 102.49, 142, 24, 52, 417, 14197, 20626
25.61, 26.96, 102.49, 142, 24, 49, 425, 14201, 20627
25.60, 27.15, 102.49, 131, 23, 49, 424, 14197, 20622
25.61, 27.17, 102.49, 131, 24, 49, 424, 14197, 20627
25.63, 27.12, 102.49, 141, 23, 50, 413, 14197, 20627
25.61, 26.97, 102.49, 141, 24, 48, 415, 14203, 20626
25.61, 27.52, 102.49, 132, 24, 47, 418, 14196, 20622
25.63, 27.01, 102.49, 132, 23, 55, 415, 14197, 20625
25.61, 27.23, 102.49, 141, 23, 47, 412, 14197, 20624
25.60, 27.03, 102.49, 141, 24, 50, 413, 14199, 20619
25.60, 27.46, 102.49, 133, 24, 47, 414, 14199, 20623
25.63, 27.20, 102.49, 133, 23, 46, 408, 14197, 20630
25.61, 27.22, 102.48, 139, 23, 54, 416, 14198, 20623
25.60, 27.18, 102.48, 139, 24, 41, 407, 14208, 20634
25.58, 27.12, 102.49, 136, 25, 45, 406, 14192, 20632
25.60, 27.15, 102.48, 136, 24, 41, 406, 14196, 20630
25.60, 27.31, 102.49, 138, 25, 45, 408, 14205, 20631
25.61, 27.06, 102.49, 138, 22, 48, 416, 14199, 20636
25.61, 27.25, 102.49, 139, 24, 48, 407, 14196, 20624
25.61, 27.14, 102.49, 139, 24, 49, 408, 14195, 20626
25.61, 27.22, 102.49, 135, 24, 45, 403, 14190, 20619
25.60, 27.21, 102.49, 135, 24, 42, 404, 14193, 20623
25.60, 27.41, 102.49, 140, 24, 48, 404, 14203, 20625
25.61, 26.94, 102.49, 140, 24, 54, 414, 14197, 20618
25.58, 27.04, 102.49, 134, 22, 52, 407, 14199, 20624
25.58, 27.01, 102.48, 134, 24, 46, 400, 14197, 20623
25.58, 27.06, 102.49, 142, 25, 43, 406, 14200, 20623
25.60, 27.29, 102.49, 142, 23, 50, 408, 14197, 20624
25.58, 27.15, 102.49, 133, 24, 47, 409, 14200, 20612
25.60, 27.08, 102.48, 133, 22, 51, 408, 14195, 20622
25.60, 27.05, 102.49, 143, 24, 43, 413, 14196, 20621
25.58, 27.24, 102.49, 143, 24, 51, 409, 14193, 20625
25.56, 27.33, 102.49, 132, 22, 44, 415, 14193, 20626
25.56, 27.33, 102.48, 132, 24, 52, 420, 14196, 20629
25.58, 27.16, 102.49, 142, 24, 55, 416, 14186, 20620
25.60, 27.18, 102.49, 142, 22, 44, 411, 14189, 20626
25.60, 27.10, 102.49, 132, 24, 44, 420, 14184, 20623
25.58, 27.27, 102.49, 132, 23, 48, 421, 14192, 20629
25.58, 27.31, 102.49, 142, 24, 54, 427, 14175, 20616
25.56, 26.94, 102.49, 142, 22, 54, 426, 14178, 20614
25.58, 27.29, 102.49, 133, 23, 51, 426, 14176, 20609
25.58, 27.21, 102.49, 133, 23, 55, 427, 14181, 20618
25.54, 27.38, 102.49, 141, 24, 54, 423, 14183, 20623
25.54, 27.36, 102.49, 141, 22, 54, 421, 14182, 20617
25.54, 27.30, 102.49, 134, 23, 53, 420, 14180, 20612
25.56, 27.21, 102.49, 134, 23, 50, 425, 14180, 20615
25.56, 27.24, 102.49, 140, 24, 52, 420, 14179, 20609
25.56, 27.09, 102.49, 140, 24, 57, 425, 14174, 20610
25.56, 27.20, 102.49, 135, 22, 54, 422, 14178, 20616
25.58, 27.31, 102.49, 135, 24, 53, 425, 14175, 20613
25.58, 27.43, 102.49, 139, 23, 54, 423, 14176, 20607
25.54, 27.07, 102.49, 139, 24, 56, 426, 14173, 20608
25.54, 27.40, 102.49, 135, 24, 57, 426, 14175, 20604
25.56, 27.09, 102.49, 135, 24, 56, 420, 14175, 20596
25.58, 27.39, 102.49, 140, 23, 56, 415, 14183, 20615
25.56, 27.06, 102.49, 140, 25, 56, 416, 14179, 20607
25.56, 27.14, 102.49, 135, 25, 55, 413, 14179, 20605
25.54, 27.45, 102.49, 135, 24, 56, 417, 14186, 20612
25.52, 27.56, 102.49, 138, 24, 60, 410, 14180, 20606
25.49, 27.24, 102.49, 138, 24, 59, 409, 14187, 20601
25.56, 27.33, 102.49, 137, 23, 60, 412, 14183, 20607
25.52, 27.38, 102.49, 137, 23, 56, 403, 14183, 20610
25.58, 27.21, 102.49, 137, 24, 56, 409, 14189, 20610
25.54, 27.14, 102.49, 137, 24, 63, 407, 14186, 20608
25.56, 27.28, 102.49, 138, 24, 55, 410, 14183, 20603
25.56, 27.34, 102.49, 138, 23, 58, 405, 14186, 20616
25.52, 27.35, 102.49, 137, 23, 59, 403, 14185, 20602
25.54, 27.42, 102.49, 137, 23, 55, 400, 14188, 20603
25.52, 27.13, 102.49, 138, 24, 55, 400, 14190, 20608
25.54, 27.26, 102.49, 138, 24, 55, 401, 14187, 20603
25.60, 27.26, 102.49, 135, 25, 55, 400, 14189, 20610
