Temperature, Humidity, Air_Pressure, Light_Intensity, Toxic_Chemical_Level, TVOC_Level, eCO2_Level, H2_Level, Ethanol_Level
25.25, 31.01, 102.23, 38, 38, 729, 400, 13871, 20258
25.27, 30.57, 102.23, 38, 38, 728, 400, 13865, 20243
25.29, 30.69, 102.23, 36, 38, 713, 400, 13878, 20252
25.24, 30.68, 102.23, 36, 38, 736, 400, 13871, 20249
25.27, 30.87, 102.23, 38, 38, 709, 400, 13877, 20256
25.25, 30.52, 102.23, 38, 38, 695, 400, 13875, 20258
25.31, 31.07, 102.23, 35, 38, 718, 400, 13877, 20258
25.29, 30.46, 102.23, 35, 38, 704, 400, 13876, 20269
25.31, 31.11, 102.23, 38, 38, 693, 400, 13869, 20258
25.27, 30.74, 102.23, 38, 38, 688, 400, 13877, 20261
25.25, 30.77, 102.23, 37, 38, 691, 400, 13870, 20269
25.29, 30.73, 102.23, 37, 37, 746, 404, 13869, 20254
25.27, 30.98, 102.23, 35, 38, 736, 400, 13864, 20244
25.27, 30.81, 102.23, 35, 35, 718, 401, 13867, 20256
25.25, 30.94, 102.23, 38, 38, 725, 400, 13864, 20250
25.27, 30.53, 102.23, 38, 38, 704, 400, 13866, 20242
25.27, 30.77, 102.23, 35, 38, 724, 406, 13861, 20254
25.25, 30.37, 102.23, 35, 38, 713, 407, 13865, 20250
25.27, 30.76, 102.23, 38, 38, 709, 400, 13861, 20245
25.27, 30.70, 102.23, 38, 39, 722, 402, 13864, 20251
25.27, 30.92, 102.23, 36, 36, 744, 405, 13865, 20246
25.29, 30.84, 102.23, 36, 38, 739, 400, 13867, 20249
25.31, 31.10, 102.23, 37, 38, 737, 400, 13863, 20242
25.29, 30.54, 102.23, 37, 38, 735, 400, 13864, 20244
25.29, 31.15, 102.23, 37, 37, 728, 402, 13864, 20247
25.29, 30.52, 102.23, 37, 38, 737, 400, 13873, 20244
25.29, 30.98, 102.23, 36, 38, 744, 400, 13869, 20249
25.29, 30.79, 102.23, 36, 38, 729, 400, 13864, 20246
25.33, 31.05, 102.23, 38, 38, 733, 400, 13866, 20246
25.31, 30.80, 102.23, 38, 39, 729, 400, 13868, 20246
25.31, 30.82, 102.23, 35, 39, 737, 400, 13864, 20247
25.31, 30.82, 102.23, 35, 38, 715, 400, 13869, 20250
25.31, 31.12, 102.23, 38, 39, 708, 400, 13867, 20255
25.31, 30.95, 102.23, 38, 38, 720, 400, 13861, 20252
25.29, 31.14, 102.23, 35, 36, 713, 400, 13870, 20252
25.29, 30.92, 102.23, 35, 38, 711, 404, 13861, 20242
25.31, 31.04, 102.23, 38, 38, 725, 403, 13862, 20253
25.29, 30.52, 102.23, 38, 39, 727, 404, 13859, 20243
25.29, 30.65, 102.23, 36, 39, 735, 411, 13858, 20244
25.27, 30.63, 102.23, 36, 39, 721, 412, 13858, 20249
25.33, 31.10, 102.24, 38, 38, 719, 410, 13848, 20251
25.29, 30.94, 102.23, 38, 47, 741, 421, 13841, 20229
25.29, 30.81, 102.23, 36, 39, 741, 421, 13844, 20235
25.33, 30.92, 102.23, 36, 38, 744, 412, 13843, 20233
25.31, 31.01, 102.23, 38, 39, 728, 413, 13850, 20246
25.29, 30.46, 102.23, 0, 39, 717, 413, 13852, 20251
25.31, 31.09, 102.24, 37, 37, 728, 421, 13842, 20237
25.27, 30.75, 102.24, 37, 38, 742, 420, 13847, 20244
25.29, 30.75, 102.23, 38, 38, 732, 424, 13844, 20229
25.31, 30.78, 102.23, 38, 39, 742, 420, 13841, 20239
25.29, 30.90, 102.23, 37, 37, 749, 422, 13844, 20237
25.34, 30.80, 102.23, 37, 38, 733, 414, 13847, 20245
25.29, 31.22, 102.23, 39, 39, 728, 412, 13845, 20243
25.31, 30.57, 102.23, 39, 38, 727, 413, 13847, 20237
25.33, 31.06, 102.23, 39, 36, 736, 416, 13851, 20246
25.33, 30.78, 102.23, 39, 39, 735, 416, 13845, 20246
25.33, 31.15, 102.23, 36, 37, 741, 410, 13852, 20241
25.33, 30.71, 102.23, 36, 39, 728, 411, 13849, 20239
25.31, 30.92, 102.24, 38, 38, 738, 407, 13853, 20238
25.34, 30.69, 102.23, 38, 37, 734, 409, 13845, 20239
25.29, 30.81, 102.23, 38, 39, 733, 405, 13848, 20241
25.33, 30.48, 102.24, 38, 38, 746, 401, 13847, 20236
25.29, 31.11, 102.23, 36, 39, 741, 404, 13850, 20234
25.33, 30.49, 102.24, 36, 37, 739, 400, 13849, 20233
25.33, 31.09, 102.24, 38, 38, 738, 402, 13853, 20239
25.33, 30.63, 102.24, 38, 38, 762, 409, 13849, 20231
25.33, 30.89, 102.23, 34, 38, 753, 414, 13854, 20232
25.34, 30.62, 102.24, 34, 37, 742, 401, 13854, 20229
25.33, 30.81, 102.23, 37, 36, 726, 400, 13855, 20236
25.33, 30.68, 102.23, 37, 39, 730, 400, 13852, 20232
25.34, 31.12, 102.23, 35, 36, 759, 400, 13849, 20221
25.34, 30.53, 102.24, 35, 38, 751, 402, 13855, 20223
25.33, 30.89, 102.23, 35, 36, 759, 403, 13850, 20226
25.31, 30.87, 102.23, 35, 37, 754, 400, 13857, 20232
25.34, 30.98, 102.23, 37, 39, 769, 400, 13850, 20232
25.31, 30.53, 102.23, 37, 39, 762, 400, 13858, 20229
25.34, 30.89, 102.23, 33, 37, 767, 400, 13856, 20225
25.36, 30.47, 102.24, 33, 38, 763, 400, 13861, 20229
25.36, 31.15, 102.23, 37, 39, 757, 400, 13869, 20236
25.34, 30.81, 102.24, 37, 36, 745, 400, 13865, 20233
25.40, 30.89, 102.23, 35, 38, 738, 400, 13863, 20233
25.36, 30.52, 102.24, 35, 39, 744, 400, 13866, 20226
25.38, 30.58, 102.23, 37, 39, 767, 400, 13868, 20229
25.34, 30.77, 102.23, 37, 38, 737, 400, 13865, 20237
25.34, 31.06, 102.23, 36, 39, 761, 400, 13862, 20226
25.36, 30.83, 102.23, 36, 38, 749, 400, 13864, 20232
25.34, 30.88, 102.23, 37, 37, 747, 400, 13861, 20228
25.36, 30.76, 102.23, 37, 38, 739, 400, 13865, 20230
25.33, 31.08, 102.23, 36, 37, 745, 400, 13861, 20225
25.36, 31.04, 102.23, 36, 38, 760, 400, 13865, 20231
25.34, 30.71, 102.23, 35, 38, 757, 400, 13858, 20220
25.33, 30.87, 102.23, 35, 38, 752, 400, 13869, 20232
25.33, 31.06, 102.23, 38, 38, 730, 400, 13870, 20231
25.34, 30.77, 102.23, 38, 36, 746, 400, 13865, 20233
25.31, 31.08, 102.23, 35, 38, 750, 400, 13866, 20228
25.34, 30.81, 102.23, 35, 39, 725, 400, 13861, 20229
25.33, 30.67, 102.23, 37, 38, 752, 400, 13866, 20233
25.34, 31.10, 102.23, 37, 38, 739, 400, 13862, 20235
25.38, 31.12, 102.23, 37, 39, 749, 400, 13856, 20233
25.34, 31.04, 102.23, 37, 37, 733, 400, 13864, 20240
25.38, 31.14, 102.23, 35, 37, 728, 400, 13861, 20233
25.34, 30.92, 102.23, 35, 38, 735, 400, 13862, 20245
25.38, 31.17, 102.23, 38, 37, 712, 400, 13868, 20240
25.36, 30.64, 102.23, 38, 38, 722, 400, 13864, 20249
25.36, 31.22, 102.23, 35, 38, 736, 400, 13858, 20244
25.34, 30.56, 102.23, 35, 38, 722, 400, 13866, 20242
25.40, 30.95, 102.23, 38, 37, 735, 400, 13852, 20235
25.36, 30.80, 102.23, 38, 38, 719, 400, 13853, 20239
25.38, 31.08, 102.23, 36, 37, 736, 400, 13864, 20243
25.40, 30.77, 102.23, 36, 36, 736, 400, 13855, 20233
25.40, 31.00, 102.23, 37, 38, 738, 400, 13863, 20232
25.36, 30.95, 102.23, 37, 39, 739, 400, 13859, 20236
25.36, 31.10, 102.23, 37, 37, 743, 400, 13861, 20239
25.36, 30.52, 102.23, 37, 39, 737, 400, 13861, 20237
25.40, 31.24, 102.23, 35, 38, 741, 400, 13863, 20236
25.38, 30.49, 102.23, 35, 38, 758, 400, 13857, 20232
25.40, 31.13, 102.23, 38, 35, 726, 400, 13858, 20240
25.38, 30.70, 102.23, 38, 39, 741, 400, 13864, 20233
25.36, 31.22, 102.23, 35, 38, 718, 400, 13865, 20241
25.38, 30.80, 102.23, 35, 38, 729, 400, 13864, 20236
25.40, 31.04, 102.23, 38, 37, 713, 400, 13865, 20243
25.42, 30.86, 102.23, 38, 37, 721, 400, 13861, 20237
25.42, 31.21, 102.23, 35, 38, 713, 400, 13868, 20238
25.42, 30.82, 102.23, 35, 37, 716, 400, 13869, 20236
25.38, 31.14, 102.23, 38, 37, 736, 400, 13859, 20238
25.38, 30.71, 102.23, 38, 37, 735, 400, 13857, 20222
25.42, 31.18, 102.23, 36, 39, 754, 400, 13857, 20227
25.38, 30.64, 102.23, 36, 38, 734, 400, 13862, 20241
25.40, 31.12, 102.23, 37, 37, 745, 400, 13858, 20225
25.40, 30.81, 102.23, 37, 38, 752, 400, 13856, 20226
25.43, 30.80, 102.23, 38, 38, 759, 400, 13863, 20230
25.40, 30.69, 102.23, 38, 38, 732, 400, 13861, 20229
25.42, 30.97, 102.23, 35, 38, 736, 400, 13865, 20234
25.40, 30.84, 102.23, 35, 38, 755, 400, 13858, 20224
25.45, 31.07, 102.23, 38, 39, 749, 400, 13859, 20227
25.42, 31.17, 102.23, 38, 38, 721, 400, 13867, 20237
25.42, 31.16, 102.23, 36, 35, 728, 400, 13866, 20239
25.45, 30.78, 102.23, 36, 37, 721, 400, 13864, 20234
25.42, 31.21, 102.23, 37, 38, 712, 400, 13869, 20239
25.40, 30.48, 102.23, 37, 39, 733, 400, 13863, 20234
25.40, 31.15, 102.23, 37, 38, 730, 400, 13856, 20233
25.45, 30.94, 102.23, 37, 38, 719, 400, 13858, 20230
25.43, 31.10, 102.23, 36, 36, 735, 400, 13856, 20236
25.43, 30.83, 102.23, 36, 38, 736, 400, 13864, 20233
25.40, 31.10, 102.23, 38, 37, 768, 400, 13855, 20227
25.43, 30.61, 102.23, 38, 37, 755, 400, 13857, 20226
25.45, 31.13, 102.23, 35, 37, 741, 400, 13856, 20233
25.45, 30.68, 102.23, 35, 38, 745, 400, 13862, 20231
25.42, 31.17, 102.23, 38, 39, 725, 400, 13859, 20231
25.45, 30.72, 102.23, 38, 36, 732, 400, 13865, 20228
25.42, 31.14, 102.23, 36, 37, 732, 400, 13862, 20234
25.45, 30.53, 102.23, 36, 38, 753, 400, 13855, 20228
25.42, 31.02, 102.23, 37, 39, 732, 400, 13858, 20229
25.40, 31.03, 102.23, 37, 38, 742, 400, 13857, 20234
25.43, 30.93, 102.23, 37, 38, 750, 400, 13858, 20225
25.40, 30.74, 102.23, 37, 36, 735, 400, 13858, 20224
25.43, 31.16, 102.23, 35, 38, 753, 400, 13861, 20222
25.43, 30.57, 102.23, 35, 38, 721, 400, 13863, 20235
25.42, 31.26, 102.23, 38, 37, 726, 400, 13859, 20237
25.42, 30.51, 102.23, 38, 39, 734, 400, 13863, 20229
25.45, 31.12, 102.23, 35, 39, 727, 400, 13856, 20227
25.45, 30.91, 102.23, 35, 38, 729, 400, 13856, 20227
25.45, 31.06, 102.23, 38, 37, 737, 400, 13862, 20229
25.40, 30.64, 102.23, 38, 38, 726, 400, 13859, 20232
25.43, 30.95, 102.23, 36, 38, 734, 403, 13859, 20243
25.43, 30.67, 102.23, 36, 38, 746, 405, 13856, 20231
25.43, 31.05, 102.23, 37, 37, 744, 400, 13851, 20225
25.42, 30.91, 102.23, 37, 38, 749, 400, 13861, 20222
25.43, 31.15, 102.23, 37, 37, 734, 400, 13859, 20228
25.45, 30.92, 102.23, 37, 37, 759, 400, 13854, 20213
25.47, 30.90, 102.23, 36, 38, 739, 400, 13861, 20221
25.42, 30.70, 102.23, 36, 38, 754, 400, 13865, 20228
25.43, 31.22, 102.23, 38, 38, 744, 400, 13862, 20224
25.47, 30.67, 102.23, 38, 38, 753, 400, 13863, 20217
25.43, 31.30, 102.23, 35, 37, 753, 403, 13863, 20226
25.45, 30.50, 102.23, 35, 38, 746, 400, 13861, 20220
25.45, 30.98, 102.24, 38, 38, 738, 400, 13864, 20226
25.49, 30.67, 102.23, 38, 37, 745, 400, 13860, 20221
25.51, 31.06, 102.23, 36, 38, 770, 400, 13857, 20217
25.43, 30.86, 102.23, 36, 38, 730, 400, 13858, 20220
25.47, 30.86, 102.23, 37, 37, 746, 400, 13866, 20231
25.43, 30.79, 102.23, 37, 38, 762, 400, 13862, 20223
25.43, 31.06, 102.23, 38, 37, 758, 400, 13859, 20217
25.45, 30.85, 102.23, 38, 38, 755, 400, 13860, 20223
25.47, 31.20, 102.23, 35, 38, 755, 400, 13862, 20223
25.45, 30.75, 102.23, 35, 40, 759, 400, 13862, 20225
25.45, 30.91, 102.23, 37, 34, 757, 400, 13861, 20225
25.47, 30.65, 102.23, 37, 37, 751, 400, 13864, 20216
25.43, 30.94, 102.23, 37, 36, 745, 400, 13861, 20215
25.49, 30.73, 102.23, 37, 37, 751, 400, 13861, 20224
25.45, 31.11, 102.23, 36, 37, 726, 400, 13857, 20222
25.45, 30.76, 102.24, 36, 38, 750, 400, 13864, 20222
25.47, 31.07, 102.23, 38, 40, 730, 400, 13854, 20224
25.49, 30.96, 102.23, 38, 39, 754, 400, 13860, 20218
25.49, 31.01, 102.23, 35, 37, 753, 400, 13857, 20222
25.47, 30.71, 102.23, 35, 38, 743, 400, 13862, 20228
25.47, 31.07, 102.23, 38, 38, 741, 400, 13859, 20223
25.49, 30.89, 102.24, 38, 38, 720, 400, 13866, 20236
25.45, 31.09, 102.23, 36, 38, 717, 400, 13860, 20226
25.47, 30.95, 102.23, 36, 38, 725, 400, 13862, 20228
25.43, 31.21, 102.23, 38, 36, 751, 410, 13853, 20221
25.47, 30.92, 102.23, 38, 37, 732, 400, 13856, 20222
25.47, 31.10, 102.24, 37, 37, 737, 400, 13860, 20224
25.49, 30.41, 102.23, 37, 37, 743, 400, 13856, 20227
25.49, 31.17, 102.23, 37, 37, 733, 403, 13859, 20226
25.47, 30.66, 102.23, 37, 35, 726, 405, 13853, 20220
25.49, 31.20, 102.23, 38, 39, 733, 400, 13854, 20227
25.49, 31.05, 102.23, 38, 36, 738, 411, 13849, 20221
25.52, 31.01, 102.23, 35, 37, 739, 403, 13858, 20232
25.51, 30.91, 102.23, 35, 38, 749, 404, 13858, 20219
25.49, 31.03, 102.24, 38, 38, 736, 400, 13855, 20231
25.49, 30.58, 102.23, 38, 35, 726, 408, 13852, 20221
25.49, 31.17, 102.23, 35, 39, 726, 400, 13852, 20228
25.43, 31.06, 102.23, 35, 38, 735, 401, 13856, 20231
25.49, 31.14, 102.24, 38, 37, 750, 407, 13855, 20223
25.51, 30.87, 102.23, 38, 38, 726, 404, 13853, 20227
25.51, 31.12, 102.23, 36, 39, 725, 407, 13850, 20225
25.47, 31.20, 102.23, 36, 38, 751, 412, 13845, 20210
25.47, 30.99, 102.23, 35, 37, 772, 408, 13848, 20218
25.49, 30.81, 102.23, 35, 39, 742, 407, 13848, 20217
25.51, 31.14, 102.23, 37, 38, 770, 403, 13852, 20219
25.47, 30.75, 102.23, 37, 38, 747, 400, 13854, 20218
25.49, 30.80, 102.23, 35, 38, 758, 403, 13851, 20223
25.49, 30.61, 102.24, 35, 46, 745, 400, 13848, 20213
25.51, 30.96, 102.23, 39, 38, 738, 400, 13856, 20219
25.49, 30.69, 102.24, 39, 38, 722, 400, 13855, 20229
25.49, 31.07, 102.23, 37, 38, 724, 400, 13854, 20221
25.47, 30.63, 102.23, 37, 38, 747, 405, 13848, 20220
25.51, 31.06, 102.23, 38, 38, 744, 405, 13849, 20222
25.51, 30.74, 102.24, 38, 38, 750, 414, 13842, 20219
25.51, 30.91, 102.23, 37, 37, 743, 408, 13844, 20216
25.49, 30.62, 102.23, 37, 38, 742, 406, 13840, 20218
25.47, 31.05, 102.23, 36, 37, 750, 410, 13845, 20218
25.49, 30.88, 102.23, 36, 38, 760, 412, 13839, 20207
25.47, 30.84, 102.23, 39, 38, 745, 411, 13844, 20211
25.51, 30.62, 102.23, 39, 38, 730, 404, 13848, 20218
25.51, 30.65, 102.23, 35, 38, 752, 408, 13841, 20214
25.49, 30.96, 102.23, 35, 37, 761, 411, 13837, 20211
25.47, 31.06, 102.24, 38, 39, 762, 413, 13841, 20210
25.51, 31.03, 102.23, 38, 38, 754, 406, 13839, 20210
25.47, 30.89, 102.24, 37, 38, 755, 408, 13842, 20218
25.49, 30.96, 102.23, 37, 38, 747, 411, 13837, 20208
25.49, 31.14, 102.24, 37, 38, 761, 414, 13836, 20204
25.52, 30.47, 102.23, 37, 39, 776, 412, 13833, 20206
25.51, 31.13, 102.23, 37, 38, 739, 400, 13842, 20216
25.49, 30.84, 102.24, 37, 38, 768, 409, 13842, 20211
25.51, 30.91, 102.23, 36, 37, 768, 412, 13837, 20207
25.51, 30.64, 102.23, 36, 35, 767, 409, 13840, 20205
25.51, 31.36, 102.23, 39, 37, 775, 412, 13840, 20203
25.52, 30.76, 102.24, 39, 38, 767, 409, 13838, 20210
25.51, 31.03, 102.24, 35, 39, 792, 406, 13834, 20200
25.47, 30.85, 102.23, 35, 36, 789, 414, 13832, 20199
25.47, 30.84, 102.23, 38, 39, 768, 405, 13838, 20197
25.49, 30.68, 102.23, 38, 38, 744, 400, 13844, 20219
25.49, 31.06, 102.23, 36, 37, 754, 401, 13840, 20211
25.52, 31.00, 102.23, 36, 38, 753, 401, 13839, 20209
25.49, 31.16, 102.23, 38, 37, 769, 408, 13841, 20207
25.49, 30.75, 102.23, 38, 38, 769, 404, 13835, 20204
25.54, 31.15, 102.23, 37, 39, 785, 407, 13840, 20204
25.52, 31.01, 102.23, 37, 39, 755, 400, 13843, 20206
25.51, 31.00, 102.23, 36, 39, 747, 400, 13843, 20210
25.52, 30.89, 102.23, 36, 36, 751, 400, 13838, 20210
25.47, 30.96, 102.24, 38, 38, 764, 400, 13841, 20209
25.51, 30.67, 102.24, 38, 38, 772, 400, 13840, 20206
25.51, 31.10, 102.23, 35, 36, 763, 404, 13841, 20217
25.52, 30.85, 102.24, 35, 38, 757, 402, 13842, 20209
25.52, 30.87, 102.23, 39, 34, 761, 401, 13835, 20201
25.49, 30.68, 102.23, 39, 38, 774, 405, 13838, 20201
25.51, 30.90, 102.24, 35, 38, 774, 402, 13839, 20210
25.52, 31.01, 102.24, 35, 39, 783, 400, 13838, 20209
25.49, 31.22, 102.23, 39, 38, 779, 404, 13846, 20207
25.51, 30.86, 102.24, 39, 34, 743, 400, 13852, 20216
25.51, 30.97, 102.24, 36, 37, 764, 400, 13845, 20209
25.51, 30.63, 102.24, 36, 36, 774, 400, 13842, 20211
25.51, 31.23, 102.24, 39, 38, 751, 400, 13837, 20206
